RECORD NAME,LOINC code,FHIR ID - UAT,FHIR ID - Prod
PHQ9_INTEREST,44250-9,teN3kKw8NMBIF9ZU7Nd-9pQ0,tFN1y-XuXVcZBVua5Shx3hA0
PHQ9_DEPRESSED,44255-8,tnU0icMggWEcRhksuu4hJ3A0,tgAEmGWuKOH90pDSRw12lMw0
UC R FM PHQ2 TOTAL,55758-7,tcspRW.3lXOnl6nYHXrx3Rg0,tOtfy1njyE8TLwJknfz1D6Q0
PHQ9_SLEEP,44259-0,tKyPjZXsY.fwUg8kQpgnrGg0,typS9O2qDI0m.HMK.UCuU9Q0
PHQ9_ENERGY,44254-1,t9ed6G2pi.iZGhA9T0KKSXQ0,tQlxHdYutrpw.q9oN8UTWIw0
PHQ9_APPETITE,44251-7,tUvwUAzzAo2GM-83FWMNMBA0,tatJ03AeDkOmJkhqVq5nPuA0
PHQ9_FAILURE,44258-2,t0-c.j3CMZhmoM0Qd8ZtPmA0,tjuTfQDPPGDzFJOBye4CUQA0
PHQ9_CONCENTRATION,44252-5,tbX6Ca3KWexbQqjSTR.gb5w0,th5JnOCvgEo6wFNMYttQ1hA0
PHQ9_MOVEMENT,44253-3,tags.2ubhSPRHJcPwj9A-9A0,tUanlOhZVjhrnccxjKKNlPQ0
PHQ9_SUICIDE,44260-8,tcfuT6l6w588Qqjcx6cXqxw0,tlj.UZxepQkWIO1YvyNgSgQ0
PHQ9_FUNCTIONAL,69723-5,tdYjwfyJvuW4IRAhjwoPFeA0,tSIy3PqqDUIyqyAVOqq9oVA0
PHQ9_SUMMARY_SCORE_FMLA,44261-6,tAcMJ6d9AZFqpzWcp-YjG6Q0,tWcTJEKrsz8gtUzQPsnGOmA0
